reaction,unique_aer_id_number,original_receive_date,number_of_animals_affected,primary_reporter,number_of_animals_treated,drug,onset_date,report_id,type_of_information,receiver.organization,receiver.street_address,receiver.city,receiver.state,receiver.postal_code,receiver.country,health_assessment_prior_to_exposure.assessed_by,animal.species,animal.gender,animal.age.min,animal.age.max,animal.age.unit,animal.age.qualifier,animal.weight.min,animal.weight.max,animal.weight.unit,animal.weight.qualifier,animal.breed.is_crossbred,animal.breed.breed_component,animal.reproductive_status,animal.female_animal_physiological_status,outcome
"[{'veddra_version': '11', 'veddra_term_code': '775', 'veddra_term_name': 'Abortion'}]",-USFDACVM-2015-FN-000696,19870511,14,Other,23,"[{'route': 'Oral', 'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'atc_vet_code': 'QP52AB03', 'active_ingredients': [{'name': 'Dichlorvos', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870511,N040848,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Pig,Mixed,.00,.00,C17998,Measured,204.120,204.120,Kilogram,Measured,false,Crossbred Porcine/Pig,,,
"[{'veddra_version': '11', 'veddra_term_code': '913', 'veddra_term_name': 'Hyperpigmentation'}, {'veddra_version': '11', 'veddra_term_code': '1196', 'veddra_term_name': 'Scale'}]",USA-USFDACVM-2015-US-059106,19870404,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N119688'}, 'atc_vet_code': 'QJ01DB05', 'active_ingredients': [{'name': 'Cefadroxil', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870404,N119688,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,6.00,,Year,Measured,9.980,,Kilogram,Measured,false,Crossbred Canine/dog,Neutered,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '830', 'veddra_term_name': 'Apnoea'}, {'veddra_version': '11', 'veddra_term_code': '854', 'veddra_term_name': 'Tachypnoea'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '11', 'veddra_term_code': '668', 'veddra_term_name': 'Collapse'}]",USA-USFDACVM-2015-US-018612,19870422,2,Other,7,"[{'route': 'Intravenous', 'brand_name': 'MSK', 'dosage_form': 'Solution', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N015030'}, 'atc_vet_code': 'QN05AA04', 'active_ingredients': [{'name': 'Acepromazine Maleate', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870422,N015030,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Horse,Male,12.00,12.00,Month,Measured,340.190,340.190,Kilogram,Measured,false,Horse (unknown),,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '304', 'veddra_term_name': 'Loose stool'}, {'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}]",USA-USFDACVM-2015-US-062441,19870413,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Granule', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N121473'}, 'atc_vet_code': 'QP52AC13', 'active_ingredients': [{'name': 'Fenbendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870413,N121473,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,8.00,,Year,Measured,31.750,,Kilogram,Measured,false,Retriever - Labrador,Neutered,NOT APPLICABLE,
"[{'veddra_version': '2', 'veddra_term_code': '99629', 'veddra_term_name': 'PR-LIVER, LESION(S)'}, {'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}]",USA-USFDACVM-2015-US-052065,19870501,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Powder', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N102987'}, 'atc_vet_code': 'QP52AC09', 'active_ingredients': [{'name': 'Mebendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870501,N102987,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,3.00,,Year,Measured,29.480,,Kilogram,Measured,false,Retriever - Golden,Neutered,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '11', 'veddra_term_code': '499', 'veddra_term_name': 'Icterus'}, {'veddra_version': '11', 'veddra_term_code': '116', 'veddra_term_name': 'Behavioural disorder NOS'}, {'veddra_version': '11', 'veddra_term_code': '2049', 'veddra_term_name': 'Elevated AST'}, {'veddra_version': '11', 'veddra_term_code': '2050', 'veddra_term_name': 'Elevated ALT'}, {'veddra_version': '11', 'veddra_term_code': '2052', 'veddra_term_name': 'Elevated total bilirubin'}, {'veddra_version': '11', 'veddra_term_code': '2055', 'veddra_term_name': 'Elevated SAP'}]",USA-USFDACVM-2015-US-068286,19870521,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870521,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,6.00,,Year,Measured,13.610,,Kilogram,Measured,false,Dachshund (unspecified),Neutered,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '263', 'veddra_term_name': 'Abdominal pain'}, {'veddra_version': '11', 'veddra_term_code': '293', 'veddra_term_name': 'Hypersalivation'}, {'veddra_version': '11', 'veddra_term_code': '302', 'veddra_term_name': 'Diarrhoea'}, {'veddra_version': '11', 'veddra_term_code': '406', 'veddra_term_name': 'Blindness'}]",USA-USFDACVM-2015-US-070337,19870428,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Paste', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N138954'}, 'atc_vet_code': 'QP52AC59', 'active_ingredients': [{'name': 'Mebendazole, Trichlorfon', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870428,N138954,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Horse,Male,20.00,,Year,Measured,204.120,,Kilogram,Measured,false,Horse (other),Neutered,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}, {'veddra_version': '', 'veddra_term_code': '2027', 'veddra_term_name': 'Haemoglobinuria'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}]",-USFDACVM-2015-FN-003146,19870612,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N138412'}, 'atc_vet_code': 'QP54AA01', 'active_ingredients': [{'name': 'Ivermectin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870619,N138412,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Unknown,3.00,,Year,Measured,14.970,,Kilogram,Measured,false,Crossbred Canine/dog,,,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '302', 'veddra_term_name': 'Diarrhoea'}, {'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}]",USA-USFDACVM-2015-US-069541,19870623,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N138412'}, 'atc_vet_code': 'QP54AA01', 'active_ingredients': [{'name': 'Ivermectin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870623,N138412,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,4.00,,Year,Measured,30.390,,Kilogram,Measured,false,Rottweiler,Neutered,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '302', 'veddra_term_name': 'Diarrhoea'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '11', 'veddra_term_code': '996', 'veddra_term_name': 'Anorexia'}]",USA-USFDACVM-2015-US-047031,19870430,675,Other,675,"[{'route': 'Oral', 'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'atc_vet_code': 'QP51AH03', 'active_ingredients': [{'name': 'Monensin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870430,N095735,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Pig,Mixed,.00,.00,C17998,Measured,,,,Unknown,false,Crossbred Porcine/Pig,,,"[{'medical_status': 'Died', 'number_of_animals_affected': '600'}]"
